,tournament_name,tournament_id
0,Cymru Premier,254
1,Regionalliga Nord,42
2,Regionalliga Nordost,1083
3,Regionalliga West,493
4,Regionalliga Südwest,1079
5,Regionalliga Bayern,1085
6,Regionalliga Playoffs,11096
7,Eliteserien,20
8,1st Division,22
9,K League 1,410
10,K League 2,777
11,MLS,242
12,MLS All Star Game,1794
13,USL Championship,13363
14,USL League One,13362
15,NWSL Challenge Cup,14820
16,Eredivisie,37
17,Eerste Divisie,131
18,KNVB beker,330
19,Johan Cruijff Schaal,340
20,1. Liga,172
21,FNL,205
22,Liga Profesional de Fútbol,155
23,Copa de la Liga Profesional,13475
24,Super Cup,1618
25,A-League,136
26,Liga 1,406
27,Supercopa Peruana,14603
28,Ekstraklasa,202
29,I Liga,229
30,Puchar Polski,281
31,Primeira Liga,238
32,Segunda Liga,239
33,Supertaça,345
34,Liga I,152
35,Premier Liga,203
36,Russian Cup,91
37,FNL,204
38,Super Cup,397
39,Saudi Professional League,955
40,Super Cup,2119
41,Superliga,211
42,PrvaLiga,212
43,Slovenia Cup,291
44,LaLiga,8
45,LaLiga 2,54
46,Copa del Rey,329
47,Super Cup,213
48,Allsvenskan,40
49,Superettan,46
50,Super League,215
51,Challenge League,216
52,Süper Lig,52
53,TFF 1. Lig,98
54,Türkiye Kupası,96
55,TFF Süper Kupa,505
56,Premier League,218
57,Ukraine Cup,312
58,Super Cup,219
59,Primera División,278
60,Super Cup,11705
61,Premijer Liga,222
62,"Primera Division, Apertura",11540
63,"Primera Division, Clausura",11541
64,Premier League,17
65,Championship,18
66,League One,24
67,League Two,25
68,FA Cup,19
69,EFL Cup,21
70,Football League Trophy,334
71,Community Shield,346
72,Superliga,210
73,DStv Premiership,358
74,League Cup,1369
75,Bundesliga,45
76,ÖFB Cup,445
77,2. Liga,135
78,Premier League,709
79,Pro League,38
80,Super Cup,338
81,Parva Liga,247
82,Canadian Premier League,13470
83,Canadian Championship,9230
84,Primera Division,11653
85,Supercup,1309
86,CFA Super League,649
87,"Primera A, Apertura",11539
88,"Primera A, Clausura",11536
89,Super Cup,10756
90,1. HNL,170
91,1st Division,171
92,Superliga,39
93,LigaPro Serie A,240
94,Premium Liiga,178
95,Esiliiga,678
96,Veikkausliiga,41
97,Ykkönen,55
98,Ligue 1,34
99,Ligue 2,182
100,Coupe de France,335
101,Coupe de la Ligue,333
102,Trophée des Champions,339
103,Bundesliga,35
104,2. Bundesliga,44
105,3. Liga,491
106,DFB Pokal,217
107,Super Cup,799
108,Super League,185
109,Super League 2,186
110,Greece Cup,375
111,NB I,187
112,Urvalsdeild,188
113,Indian Super League,1900
114,Premier League,266
115,Serie A,23
116,Serie B,53
117,"Serie C, Girone A",11445
118,"Serie C, Girone B",11447
119,"Serie C, Girone C",11446
120,"Serie C,  Promotion Playoffs",11452
121,Coppa Italia,328
122,Supercoppa,341
123,J.League,196
124,Super Cup,393
125,Virsliga,197
126,A Lyga,198
127,"Liga MX, Apertura",11621
128,"Liga MX, Clausura",11620
129,Supercopa MX,1754
130,Trofeo de Campeon de Campeones,2103
131,Premiership,36
132,League Cup,332
133,AFC Champions League,463
134,AFC Cup,668
135,World Cup Qual. AFC,308
136,AFC Asian Cup,246
137,AFF Suzuki Cup,602
138,World Cup,16
139,"World Cup Qualification, Inter-Confederation Playoffs",10618
140,Confederations Cup,460
141,Olympic Games,436
142,Club World Cup,357
143,Emirates Cup,1295
144,International Champions Cup,1337
145,Olympic Games Women,437
146,World Cup Women,290
147,U17 World Cup,279
148,U20 World Cup,453
149,CONCACAF Champions League,498
150,CONCACAF Gold Cup,140
151,World Cup Qual. CONCACAF,14
152,Copa América,133
153,CONMEBOL Libertadores,384
154,CONMEBOL Sudamericana,480
155,CONMEBOL Recopa,490
156,World Cup Qual. CONMEBOL,295
157,UEFA Champions League,7
158,UEFA Europa League,679
159,"European Championship, Qualification",27
160,European Championship,1
161,UEFA Nations League,10783
162,World Cup Qual. UEFA,11
163,UEFA Super Cup,465
164,Women's Euro,477
165,U19 European Championship,258
166,U21 European Championship,454
167,CAF Champions League,1054
168,Africa Cup of Nations,270
169,CAF Confederations Cup,1115
170,CAF Super Cup,1250
171,Brasileiro Série A,325
172,Brasileiro Série B,390
173,Supercopa do Brasil,14602
174,"Paulista, Série A1",372
